Reference, Quantity, Value, Footprint, Datasheet
C1 C3 C10 C4 C5 C6 C7 C8 C9 C2 C11 ,11,"100nF","Capacitor_SMD:C_0805_2012Metric","~"
C12 C13 C14 C15 C16 ,5,"10uF","Capacitor_SMD:CP_Elec_4x5.3","~"
D1 D2 D3 D4 D5 D6 D7 D9 D14 ,9,"WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
D13 ,1,"D","Diode_SMD:D_0805_2012Metric","~"
D8 D10 D11 D12 D15 D16 D17 D18 ,8,"LED","LED_SMD:LED_0805_2012Metric","~"
J1 J4 ,2,"jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
J2 ,1,"card-programming-header-arb","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
J3 ,1,"card-header","Connector_PinHeader_2.54mm:PinHeader_1x40_P2.54mm_Horizontal",""
JP4 JP2 JP3 JP1 ,4,"Jumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","~"
R1 R9 R2 R3 R4 R5 R6 R7 R8 ,9,"R","Resistor_SMD:R_0805_2012Metric","~"
R10 R11 ,2,"4.7K","Resistor_SMD:R_0805_2012Metric","~"
U1 ,1,"ADAFRUIT_FEATHER","Modules:ADAFRUIT_FEATHER",""
U2 ,1,"pmod-interface-type-2a-qspi","stargazer-stalk:pmod-double",""
U6 U5 ,2,"PCF8574","stargazer-stalk:SOIC127P1032X265-16N","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf"
